Tokens,Class
aloj cas alquil ciud amurall pareci tan segur cualqui gran ciud monton buen restaur tiend vid nocturn gran lug grup interes vari segur traig nin aqui sol hac asegurat aventur ciud tambi gran lug aloj alojamos casa alquilada ciudad amurallada parecia tan segura cualquier gran ciudad monton buenos restaurantes tiendas vida nocturna gran lugar grupo inter variados seguro traiga ninos aqui solo hacer asegurate aventurarse ciudad tambien gran lugar alojarse,4
com bien especial teni mejor com mexc unid margarit genial mahi mahi pesc recoc sec carn fajit acept coc camaron sabros tortill chips aperit decepcion comida bien especial tenia mejor comida mexcan unidos margaritas geniales mahi mahi pescado recocido seco carne fajitas aceptable coco camarones sabroso tortilla chip aperitivo decepcionante,3
opinion usuari reclam gran palad parec ser par grup excursion menu mas interes restaur com part mas interes experient edifici seccion haban centr plant inferior estan deterior apartament viv trabaj restaur pis superior restaur sid restaur glori pas reserv imprescind plan 40 50 cuc person com coctel vinosm opinion usuarios reclaman gran paladar parece ser parada grupos excursion menu mas interesante restaurantes comimos parte mas interesante experiencia edificio seccion habana centro plantas inferiores estan deteriorados apartamentos viven trabajadores restaurante pisos superiores restaurante sido restauradas gloria pasada reservas imprescindibles plan 40 50 cuc persona comida cocteles vinosmas,3
curios form asemej sill mont ahi nombr icon ciud val pen si pued ubir pued asdnirr cualqui punt ciud curiosa forma asemeja silla montar ahi nombre icono ciudad vale pena si puedes ubir puedes asdnirr cualquier punto ciudad,4
mejor limon gust com mund sos fri mejor limonada gusto comida mundo sosa frio,2
carol k sorprend comentari dej seman atras usuari sid negat puest desafortun mio tambi vist perspect correct mas quej oportun usted revis mas carol k sorprende comentario dejado semana atras usuario sido negativo puesto desafortunadamente mio tambien visto perspectiva correcta mas queja oportunidad ustedes revisar mas,2
gust hic fil enorm entrar adentr muchisisim gent parqu padr sol recom ir tempor alta gusto hicimos fila enorme entrar adentro muchisisima gente parque padre solo recomiendo ir temporada alta,4
hotel limpi personal segur desagrad cual rasist homofob discrimination cuban extranjer ejempl porters juan carl dej entrar instalation andab prim cuban dej entrar mientr cuban holand si recibi inlges si especial fin discrimin prim mism pais ofendi ser gay prim algui prepar trabaj glamorous instalation recom despid mas client hotel limpio personal seguridad desagradable cuales rasistas homofobicos discrimination cubanos extranjeros ejemplo porter juan carlos dejo entrar instalation andaba prima cubana dejo entrar mientras cubano holandes si recibio inlges si especial fin discrimino prima mismo pais ofendio ser gay prima alguien preparado trabajar glamorous instalation recomiendo despidan mas clientes,1
sub escaler pued encontr bar azote unas impresion vist atardec pued ver camin haci mar capitoli much cas ciud bonit lug pas hor atardec sabore pin col reci prepar much beb restaur plant baj necesit hac reserv antel frecuent visit turist com abaj buen preci relat altos cas usted vegetarian aunqu mayori visit turist extranjer apen encontr ningun plat vegetarian junt aperit plat secundari bar azote dud val pen visit mas subiendo escaleras puede encontrar bar azotea unas impresionantes vistas atardecer puedes ver camino hacia mar capitolio muchas casas ciudad bonito lugar pasar horas atardecer saborea pina colada recien preparada muchas bebidas restaurante planta baja necesita hacer reserva antelacion frecuentemente visitado turistas comida abajo buena precios relativamente altos caso usted vegetariano aunque mayoria visitantes turistas extranjero apenas encontrar ningun platos vegetarianos junto aperitivo platos secundarios bar azotea duda vale pena visitarlo mas,4
lleg 17 febrer hic check in hotel pod entrar 15 hrs result pas 17 aun termin prepar habit pilon elev descompus recom llegamos 17 febrero hicimos check in hoteles poder entrar 15 hrs resulta pasado 17 aun terminaban preparar habitaciones pilon elevador descompuso recomiendo,1
